taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2878463	Quercus × caesariensis Moldenke	2878463	Quercus × caesariensis Moldenke	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus caesariensis	2878463	
2878009	Quercus ariifolia Trel.	2878009	Quercus ariifolia Trel.	57	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus ariifolia	2878009	NT
2881232	Quercus gramuntia L.	2879098	Quercus ilex L.	16	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus ilex	2879098	
2878762	Quercus condensata Schur	2878725	Quercus robur subsp. robur	12	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus robur	2878688	
2879505	Quercus pannonica Endl.	2879520	Quercus conferta Kit.	7	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus conferta	2879520	
7989662	Quercus palustris Du Roi	7989662	Quercus palustris Du Roi	61	SPECIES	PROVISIONALLY_ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus palustris	7989662	
2879120	Quercus chicamolensis Trel.	2878540	Quercus crassifolia Bonpl.	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus crassifolia	2878540	
2879306	Quercus × major Nakai	2879653	Quercus × urticifolia Blume	46	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus urticifolia	2879653	
6289775	Quercus aliena f. pellucida (Blume) Kitam.	2881667	Quercus aliena var. pellucida Blume	82	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus aliena	2881654	
2878664	Quercus × byarsii Sudw. ex Trel.	2878664	Quercus × byarsii Sudw. ex Trel.	12	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus byarsii	2878664	
